company_id,company,country
1,42,UK
2,10th Hole Productions,USA
3,1821 Pictures,USA
4,1984 Private Defense Contractors,USA
5,20th Century Fox,South Korea
6,21 Laps Entertainment,USA
7,2929 Productions,USA
8,3 Arts Entertainment,USA
9,3311 Productions,USA
10,40 Acres & A Mule Filmworks,USA
11,8383 Productions,USA
12,93 Films,USA
13,A Bigger Boat,USA
14,A Hot Dog,USA
15,A24,USA
16,Aamir Khan Productions,India
17,Abbolita Productions,USA
18,Abraham Productions,USA
19,Access Motion Pictures,Canada
20,Ad Hominem Enterprises,USA
21,AdScott Pictures,USA
22,Adventure Pictures,UK
23,Affirm Films,USA
24,Aggregate Films,USA
25,Alcon Entertainment,USA
26,Alcove Entertainment,UK
27,Aldamisa Entertainment,USA
28,Alebrije Cine y Video,Mexico
29,Alfama Films,Canada
30,Alliance,USA
31,Alliance Films,USA
32,Allison Shearmur Productions,USA
33,Allspark Pictures,USA
34,Also Known As Pictures,USA
35,Amasia Entertainment,USA
36,Amazon Studios,USA
37,Amber Entertainment,UK
38,Amblin Entertainment,USA
39,Amblin Partners,USA
40,"American Film Company, The",USA
41,American Zoetrope,USA
42,Amuse,Japan
43,An Olive Branch Productions,Canada
44,Anchor Bay Films,USA
45,Andrew Lauren Productions (ALP),USA
46,Angry Films,USA
47,Animal Kingdom,USA
48,Anna Biller Productions,USA
49,Annapurna Pictures,USA
50,Annapurna Productions,USA
51,Anonymous Content,USA
52,Antena 3 Films,USA
53,Antidote Films (I),USA
54,Apaches Entertainment,UK
55,Apartment Two,USA
56,Apatow Productions,USA
57,Appian Way,UK
58,AR Films,Russia
59,Aramid Entertainment Fund,USA
60,Arcade Pictures,USA
61,Archer Street Productions,Switzerland
62,Archimede,Italy
63,ArieScope Pictures,USA
64,Aristar Entertainment,USA
65,Arka Mediaworks,India
66,Armory Films,USA
67,Art Pictures Studio,Russia
68,ARTE France,Iran
69,Artists Public Domain,USA
70,Asghar Farhadi Productions,Iran
71,ASIG Productions,USA
72,Asis Productions,South Africa
73,Asmik Ace Entertainment,Japan
74,Astute Films,USA
75,Atlas Entertainment,USA
76,Atlas Productions,USA
77,Audax Films,USA
78,Audiovisual Aval SGR,Spain
79,Audley Films,UK
80,Automatik Entertainment,USA
81,Avi Chai fund,Israel
82,AXN,Spain
83,AZ Films,Chile
84,B24,UK
85,Babieka,UK
86,Baby Cow Productions,UK
87,Baby Way Productions,USA
88,Bad Cop Bad Cop Film Productions,USA
89,Bad Robot,USA
90,Bank Street Films,USA
91,Bayerischer Rundfunk (BR),Germany
92,Bazelevs Production,USA
93,BB Film Productions,USA
94,BBC Films,UK
95,BCDF Pictures,USA
96,Before The Door Pictures,USA
97,Beijing New Picture Film Co.,China
98,Beijing Skywheel Entertainment Co.,USA
99,Belladonna Productions,USA
100,Bellanova Films,USA
101,Bellwether Pictures,USA
102,BenderSpink,USA
103,Beofilm,Sweden
104,BFI Film Fund,UK
105,BH Tilt,USA
106,Big Beach Films,USA
107,Big Farm,Ireland
108,Big Indie Pictures,USA
109,Big Screen Productions,USA
110,Big Talk Productions,UK
111,Bing Feng Bao Entertainment,USA
112,Bingo Movie Development,China
113,Black Bear Pictures,USA
114,Black Entertainment Television (BET),USA
