film_id,name,company,director,genre_level,runtime,score,votes,star,writer,year
1,Robin Hood,Universal Pictures,Ridley Scott,1,140,6.7,224548,Russell Crowe,Brian Helgeland,2010
2,Salt,Columbia Pictures,Phillip Noyce,1,100,6.4,259831,Angelina Jolie,Kurt Wimmer,2010
3,The Expendables,Millennium Films,Sylvester Stallone,2,103,6.5,288429,Sylvester Stallone,Dave Callaham,2010
4,The Last Airbender,Paramount Pictures,M. Night Shyamalan,3,103,4.2,127467,Noah Ringer,M. Night Shyamalan,2010
5,Life as We Know It,Josephson Entertainment,Greg Berlanti,4,100,6.6,103763,Katherine Heigl,Ian Deitchman,2010
6,Date Night,Twentieth Century Fox Film Corporation,Shawn Levy,4,88,6.3,135458,Steve Carell,Josh Klausner,2010
7,Burlesque,Screen Gems,Steve Antin,5,119,6.4,65689,Cher,Steve Antin,2010
8,127 Hours,Path Pictures International,Danny Boyle,6,94,7.6,299503,James Franco,Danny Boyle,2010
9,Predators,Twentieth Century Fox Film Corporation,Antal,2,107,6.4,182863,Adrien Brody,Alex Litvak,2010
10,The Next Three Days,Lionsgate,Paul Haggis,7,133,7.4,155358,Russell Crowe,Paul Haggis,2010
11,The Other Guys,Columbia Pictures,Adam McKay,1,107,6.7,204044,Will Ferrell,Adam McKay,2010
12,Leap Year,Universal Pictures,Anand Tucker,8,100,6.5,77685,Amy Adams,Deborah Kaplan,2010
13,The Karate Kid,Columbia Pictures,Harald Zwart,3,140,6.2,131784,Jackie Chan,Christopher Murphey,2010
14,The Twilight Saga: Eclipse,Summit Entertainment,David Slade,9,124,4.9,195941,Kristen Stewart,Melissa Rosenberg,2010
15,Four Lions,Film4,Christopher Morris,10,97,7.3,61262,Will Adamsdale,Christopher Morris,2010
16,All Good Things,Groundswell Productions,Andrew Jarecki,11,101,6.3,45225,Ryan Gosling,Marcus Hinchey,2010
17,When in Rome,Touchstone Pictures,Mark Steven Johnson,4,91,5.6,53883,Kristen Bell,David Diamond,2010
18,Winter's Bone,Anonymous Content,Debra Granik,12,100,7.2,118433,Jennifer Lawrence,Debra Granik,2010
19,Piranha 3D,Dimension Films,Alexandre Aja,10,88,5.5,76489,Elisabeth Shue,Pete Goldfinger,2010
20,Hot Tub Time Machine,Metro-Goldwyn-Mayer (MGM),Steve Pink,10,101,6.4,145648,John Cusack,Josh Heald,2010
21,Unstoppable,Twentieth Century Fox Film Corporation,Tony Scott,1,98,6.8,160551,Denzel Washington,Mark Bomback,2010
22,Faster,CBS Films,George Tillman Jr.,2,98,6.5,85407,Dwayne Johnson,Tony Gayton,2010
23,Centurion,Path Pictures International,Neil Marshall,2,97,6.4,69188,Michael Fassbender,Neil Marshall,2010
24,Ramona and Beezus,Fox 2000 Pictures,Elizabeth Allen Rosenbaum,13,100,6.7,14808,Joey King,Laurie Craig,2010
25,I Saw the Devil,Softbank Ventures,Jee-woon Kim,14,141,7.8,81507,Byung-hun Lee,Jee-woon Kim,2010
26,Diary of a Wimpy Kid,Color Force,Thor Freudenthal,8,100,6.2,35256,Zachary Gordon,Jackie Filgo,2010
27,Valentine's Day,New Line Cinema,Garry Marshall,4,125,5.7,100570,Julia Roberts,Katherine Fugate,2010
28,Edge of Darkness,Warner Bros.,Martin Campbell,11,117,6.6,79774,Mel Gibson,William Monahan,2010
29,Charlie St. Cloud,Universal Pictures,Burr Steers,5,100,6.5,50872,Zac Efron,Craig Pearce,2010
30,Let Me In,Overture Films,Matt Reeves,12,116,7.2,99166,Kodi Smit-McPhee,Matt Reeves,2010
31,Megamind,DreamWorks Animation,Tom McGrath,15,95,7.3,188234,Will Ferrell,Alan Schoolcraft,2010
32,Sepultado,Audiovisual Aval SGR,Rodrigo Cort s,12,95,7.0,127979,Ryan Reynolds,Chris Sparling,2010
33,Shrek Forever After,DreamWorks Animation,Mike Mitchell,15,93,6.3,150636,Mike Myers,William Steig,2010
34,Flipped,Castle Rock Entertainment,Rob Reiner,8,100,7.7,67346,Madeline Carroll,Rob Reiner,2010
35,The Tourist,GK Films,Florian Henckel von Donnersmarck,1,103,6.0,190376,Johnny Depp,Florian Henckel von Donnersmarck,2010
36,You Again,Touchstone Pictures,Andy Fickman,8,100,5.8,43588,Kristen Bell,Moe Jelline,2010
37,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox 2000 Pictures,Michael Apted,16,113,6.3,116260,Ben Barnes,Christopher Markus,2010
38,Machete,Overnight Films,Ethan Maniquis,2,105,6.6,173229,Danny Trejo,Robert Rodriguez,2010
39,Monsters,Vertigo Films,Gareth Edwards,12,94,6.4,80354,Scoot McNairy,Gareth Edwards,2010
40,The Sorcerer's Apprentice,Walt Disney Pictures,Jon Turteltaub,3,109,6.1,133390,Nicolas Cage,Lawrence Konner,2010
41,Wall Street: Money Never Sleeps,Twentieth Century Fox Film Corporation,Oliver Stone,5,133,6.2,88518,Shia LaBeouf,Allan Loeb,2010
42,The Man from Nowhere,Cinema Service,Jeong-beom Lee,2,119,7.8,48823,Bin Won,Jeong-beom Lee,2010
43,Dear John,Screen Gems,Lasse Hallstr m,5,108,6.3,115712,Channing Tatum,Jamie Linden,2010
44,Eat Pray Love,Columbia Pictures,Ryan Murphy,5,133,5.7,69859,Julia Roberts,Ryan Murphy,2010
45,Due Date,Warner Bros.,Todd Phillips,10,95,6.6,287021,Robert Downey Jr.,Alan R. Cohen,2010
46,Secretos Peligrosos,Samuel Goldwyn Films,Larysa Kondracki,2,112,7.2,27033,Rachel Weisz,Larysa Kondracki,2010
47,The Losers,Warner Bros.,Sylvain White,1,97,6.4,78545,Idris Elba,Peter Berg,2010
48,The Crazies,Overture Films,Breck Eisner,17,101,6.5,98210,Radha Mitchell,Scott Kosar,2010
49,It's Kind of a Funny Story,Focus Features,Anna Boden,4,101,7.1,116014,Keir Gilchrist,Anna Boden,2010
50,Little Fockers,Universal Pictures,Paul Weitz,4,98,5.5,91634,Ben Stiller,John Hamburg,2010
51,Super,This Is That Productions,James Gunn,10,100,6.8,65689,Rainn Wilson,James Gunn,2010
52,Get Him to the Greek,Universal Pictures,Nicholas Stoller,10,109,6.4,153864,Jonah Hill,Nicholas Stoller,2010
53,The Way Back,Exclusive Films,Peter Weir,9,133,7.3,94377,Jim Sturgess,Keith R. Clarke,2010
54,The Last Song,Touchstone Pictures,Julie Anne Robinson,18,100,5.9,66108,Miley Cyrus,Nicholas Sparks,2010
55,Black Death,Egoli Tossell Film,Christopher Smith,2,102,6.4,38417,Eddie Redmayne,Dario Poloni,2010
56,Animal Kingdom,Porchlight Films,David Mich d,11,113,7.3,48461,James Frecheville,David Mich d,2010
57,Elektra Luxx,Gato Negro Films,Sebastian Gutierrez,10,100,5.1,6197,Joseph Gordon-Levitt,Sebastian Gutierrez,2010
58,Resident Evil: Afterlife,Constantin Film,Paul W.S. Anderson,2,96,5.9,143707,Milla Jovovich,Paul W.S. Anderson,2010
59,Biutiful,Menageatroz,Alejandro Gonz lez I  rritu,12,148,7.5,74415,Javier Bardem,Alejandro Gonz lez I  rritu,2010
60,Devil,Universal Pictures,John Erick Dowdle,19,80,6.3,112284,Chris Messina,Brian Nelson,2010
61,The Switch,Mandate Pictures,Josh Gordon,4,100,6.1,83839,Jennifer Aniston,Allan Loeb,2010
62,The Ghost Writer,R.P. Productions,Roman Polanski,5,128,7.2,140059,Ewan McGregor,Robert Harris,2010
63,The Wolfman,Universal Pictures,Joe Johnston,12,103,5.8,93175,Benicio Del Toro,Andrew Kevin Walker,2010
64,Last Night,Gaumont,Massy Tadjedin,12,93,6.6,41908,Keira Knightley,Massy Tadjedin,2010
65,Takers,Screen Gems,John Luessenhop,1,107,6.2,49828,Chris Brown,Peter Allen,2010
66,Jonah Hex,Warner Bros.,Jimmy Hayward,1,81,4.7,48504,Josh Brolin,Mark Neveldine,2010
67,Boy,Whenua Films,Taika Waititi,20,87,7.5,11504,James Rolleston,Taika Waititi,2010
68,The Back-up Plan,CBS Films,Alan Poul,4,104,5.3,43272,Jennifer Lopez,Kate Angelo,2010
69,The Bounty Hunter,Columbia Pictures,Andy Tennant,1,110,5.5,103868,Jennifer Aniston,Sarah Thorp,2010
70,The Runaways,River Road Entertainment,Floria Sigismondi,21,106,6.6,41586,Kristen Stewart,Floria Sigismondi,2010
71,Submarine,The Weinstein Company,Richard Ayoade,10,97,7.3,72965,Craig Roberts,Richard Ayoade,2010
72,Skyline,Rogue Pictures,Colin Strause,1,97,4.4,78787,Eric Balfour,Joshua Cordes,2010
73,How Do You Know,Columbia Pictures,James L. Brooks,4,100,5.4,37605,Reese Witherspoon,James L. Brooks,2010
74,Frozen,A Bigger Boat,Adam Green,22,93,6.2,57244,Shawn Ashmore,Adam Green,2010
75,Somewhere,Focus Features,Sofia Coppola,10,97,6.3,38036,Stephen Dorff,Sofia Coppola,2010
