hid,atmosphere,cleanliness,facilities,location,security,staff,score
1,8.9,9.4,9.3,8.9,9.0,9.4,9.2
10,6.7,7.2,6.8,8.5,7.8,8.5,7.7
100,8.3,8.6,7.8,9.5,8.5,9.4,8.6
101,9.8,9.2,8.9,8.8,9.5,9.9,9.4
102,9.8,9.8,9.3,6.8,9.0,9.8,9.1
103,8.0,8.0,8.0,4.0,6.0,8.0,7.1
104,9.2,8.4,9.2,10.0,8.8,9.6,9.1
105,8.9,9.8,9.4,9.6,9.6,9.7,9.5
106,8.0,8.8,8.0,6.8,8.0,9.6,8.3
107,10.0,10.0,10.0,10.0,10.0,10.0,10.0
108,7.7,7.1,7.7,8.6,8.6,8.9,8.1
109,7.6,10.0,9.6,7.6,9.2,9.2,8.9
11,9.5,9.1,8.7,8.8,8.9,9.8,9.2
110,8.0,10.0,9.5,9.0,9.0,10.0,9.3
111,10.0,10.0,8.0,8.0,10.0,10.0,9.1
112,9.4,9.6,9.6,8.8,9.4,9.8,9.5
113,9.3,9.6,9.3,9.4,9.4,9.8,9.5
114,7.5,9.0,8.5,7.0,9.5,9.0,8.4
115,9.0,9.0,9.0,9.0,9.0,9.0,9.0
116,8.7,8.7,8.7,10.0,7.3,7.3,8.4
117,6.3,8.0,6.8,9.4,6.9,8.6,7.6
118,8.7,9.6,9.2,9.1,9.1,9.4,9.2
119,8.4,9.8,9.5,9.1,9.2,9.4,9.3
12,8.1,8.3,8.4,7.8,8.9,9.1,8.5
120,7.1,9.1,7.4,7.4,6.3,6.9,7.5
121,8.1,9.3,8.8,9.4,8.9,9.5,9.0
122,9.8,9.7,9.3,9.3,9.3,9.8,9.6
123,8.7,9.9,10.0,9.7,9.9,9.7,9.7
124,9.1,9.4,9.1,9.1,9.1,10.0,9.3
125,8.5,9.6,9.3,8.3,9.6,9.4,9.1
126,9.2,9.3,9.0,9.2,9.1,9.6,9.2
127,8.2,8.6,8.2,8.1,9.1,9.0,8.6
128,9.6,9.8,9.6,9.1,9.5,9.9,9.6
129,8.5,8.8,8.9,8.6,8.8,9.2,8.8
13,10.0,10.0,10.0,10.0,10.0,10.0,10.0
130,10.0,10.0,10.0,10.0,10.0,10.0,10.0
131,9.4,9.4,9.1,10.0,9.4,10.0,9.6
132,9.1,9.7,9.3,9.0,9.7,9.7,9.4
133,9.4,9.9,9.5,9.8,9.7,9.8,9.7
134,9.7,9.0,9.0,9.5,8.3,9.6,9.2
135,8.7,9.2,9.3,10.0,9.5,9.3,9.3
136,2.0,10.0,6.0,6.0,2.0,2.0,4.9
137,7.6,8.4,7.6,8.0,9.6,10.0,8.6
138,8.0,10.0,10.0,10.0,10.0,10.0,9.6
139,8.9,10.0,9.4,9.3,9.7,9.7,9.5
14,9.1,9.5,8.8,9.5,9.4,9.7,9.3
140,6.7,7.3,8.7,7.3,8.0,9.3,7.5
141,8.8,10.0,9.8,8.8,9.8,9.8,9.6
142,8.6,9.9,9.5,9.2,9.6,9.6,9.4
143,9.2,10.0,9.3,9.5,9.3,9.5,9.5
144,8.5,9.5,9.2,9.7,9.4,9.6,9.3
145,9.4,10.0,9.7,9.1,9.7,9.9,9.6
146,9.0,10.0,10.0,9.5,10.0,9.5,9.6
147,8.0,8.6,8.0,8.0,8.7,8.9,8.4
148,9.0,9.8,9.3,9.0,9.8,10.0,9.5
149,8.3,9.0,8.5,9.0,8.7,9.0,8.7
15,8.8,9.2,8.7,9.0,9.1,9.5,9.1
